State,AHP
Hawaii,898596
District Of Columbia,766458
California,689145
Massachusetts,595743
New York,579581
Colorado,517045
Connecticut,473373
Utah,456208
Oregon,409270
Rhode Island,401310
Florida,395575
Washington,373518
New Jersey,362025
Maryland,359817
Virginia,347641
Idaho,327929
Texas,323378
Montana,320525
Nevada,320179
Arizona,317788
New Hampshire,313339
Vermont,300459
Delaware,295702
Georgia,291978
Minnesota,290944
South Carolina,289565
Wyoming,277355
Illinois,275393
North Carolina,271884
Maine,270987
Alaska,267876
Tennessee,257383
New Mexico,246353
South Dakota,235080
Louisiana,230677
North Dakota,226168
Nebraska,224260
Pennsylvania,224017
Wisconsin,220743
Kentucky,211346
Alabama,208222
Michigan,207896
Missouri,201399
Oklahoma,200699
Mississippi,191115
Kansas,189528
Arkansas,188521
Indiana,186751
Iowa,186512
Ohio,185974
West Virginia,172836
